"","title","author","journal","number","cites","year","cid","pubid"
"1","Reliable Decision Support with LLMs: A Framework for Evaluating Consistency in Binary Text Classification Applications","FM Megahed, YJ Chen, LA Jones-Farmer, Y Lee, JB Wang, IM Zwetsloot","arXiv Preprint arXiv:",":2505.14918",0,2025,NA,"4OULZ7Gr8RgC"
"2","Adapting OpenAI's CLIP Model for Few-Shot Image Inspection in Manufacturing Quality Control: An Expository Case Study with Multiple Application Examples","FM Megahed, Y-J Chen, BM Colosimo, MLG Grasso, LA Jones-Farmer, S Knoth, H Sun, I Zwetsloot","arXiv Preprint arXiv:",":2501.12596",2,2025,"7716002524401211563","fPk4N6BV_jEC"
"3","Editorial Advice for Selecting an Open-Source License for your Next Paper: Navigating Copyrights for Publicly Facing AI Chatbots","LA Jones-Farmer, FM Megahed, Y-J Chen, I Zwetsloot, S Knoth, DC Montgomery, G Capizzi","Journal of Quality Technology","56 (5), 468-473",0,2024,NA,"u_35RYKgDlwC"
"4","Introducing ChatSQC: Enhancing Statistical Quality Control with Augmented AI","FM Megahed, Y-J Chen, IM Zwetsloot, S Knoth, DC Montgomery, LA Jones-Farmer","Journal of Quality Technology","56 (5), 474-497",11,2024,"4544026046773475641,14817700095990035591","zA6iFVUQeVQC"
"5","Statistical Process Monitoring from Industry 2.0 to Industry 4.0: Insights into Research and Practice","BM Colosimo, LA Jones-Farmer, FM Megahed, K Paynabar, C Ranjan, WH Woodall","Technometrics","66 (4), 507-530",13,2024,"11489295116299861105","HoB7MX3m0LUC"
"6","ChatISA: A Prompt-Engineered Chatbot for Coding, Project Management, Interview and Exam Preparation Activities","FM Megahed, Y-J Chen, JA Ferris, C Resatar, K Ross, Y Lee, LA Jones-Farmer","arXiv Preprint arXiv:",":2407.15010",1,2024,"46688366460173887","rO6llkc54NcC"
"7","Shortest Path Problems with a Crash Risk Objective","Q Hu, A Mehdizadeh, A Vinel, M Cai, SE Rigdon, W Zhang, FM Megahed","Transportation Research Record","2678 (6), 284-300",0,2024,NA,"35N4QoGY0k4C"
"8","How Generative AI Models Such as ChatGPT can be (Mis) Used in SPC Practice, Education, and Research? an Exploratory Study","FM Megahed, YJ Chen, JA Ferris, S Knoth, LA Jones-Farmer","Quality Engineering","36 (2), 287-315",230,2024,"590786004275865324","J_g5lzvAfSwC"
"9","Comparing Classifier Performance with Baselines","FM Megahed, Y-J Chen, LA Jones-Farmer, SE Rigdon, M Krzywinski, N Altman","Nature Methods","21 (4)",7,2024,"9280017257360845719","SeFeTyx0c_EC"
"10","Investigating the Causal Relationships Among Information Quality Constructs in Generative AI","G Lee, A Farmer, F Megahed, R Xu","","",0,2024,NA,"3s1wT3WcHBgC"
"11","Functional ANOVA for Upper Extremity Fatigue Analysis During Dynamic Order Picking","SK Kheiri, Z Vahedi, H Sun, FM Megahed, LA Cavuoto","IISE Transactions on Occupational Ergonomics and Human Factors","11 (3-4), 123-135",3,2023,"8209691588444911142","ZHo1McVdvXMC"
"12","Human Reliability Modeling in Occupational Environments Toward a Safe and Productive Operator 4.0","SK Kheiri, Z Vahedi, H Sun, FM Megahed, LA Cavuoto","International Journal of Industrial Ergonomics","97, 103479",13,2023,"8881398023097181335","lSLTfruPkqcC"
"13","Predicting in-Hospital Mortality after Transcatheter Aortic Valve Replacement using Administrative Data and Machine Learning","T Alhwiti, S Aldrugh, FM Megahed","Scientific Reports","13 (1), 10252",8,2023,"17427330198310200290","RYcK_YlVTxYC"
"14","Explaining Predictive Model Performance: An Experimental Study of Data Preparation and Model Choice","HA Dolatsara, Y-J Chen, RD Leonard, FM Megahed, LA Jones-Farmer","Big Data","11 (3), 199-214",10,2023,"8099369923099789231","M3NEmzRMIkIC"
"15","The Relationship Between Ratings of Perceived Exertion (RPE) and Relative Strength for a Fatiguing Dynamic Upper Extremity Task: A Consideration of Multiple Cycles and Conditions","Z Vahedi, SK Kheiri, S Hajifar, SR Lamooki, H Sun, FM Megahed, LA Cavuoto","Journal of Occupational and Environmental Hygiene","20 (3-4), 136-142",8,2023,"5311149105801885316","NaGl4SEjCO4C"
"16","Classifying Tasks Performed by Electrical Line Workers using a Wrist-Worn Sensor: A Data Analytic Approach","S Ragani Lamooki, S Hajifar, J Hannan, H Sun, F Megahed, L Cavuoto","Plos One","17 (12), e0261765",8,2022,"17608953651560827030","RGFaLdJalmkC"
"17","Enabling Smart Manufacturing with Artificial Intelligence and Big Data: a Survey and Perspective","H Du Nguyen, KP Tran, P Castagliola, FM Megahed","Advanced Manufacturing Methods","1-26",10,2022,"15904384891866086791,10899512507420840403","GnPB-g6toBAC"
"18","Hierarchical Point Process Models for Recurring Safety Critical Events Involving Commercial Truck Drivers: A Reliability Framework for Human Performance Modeling","M Cai, A Mehdizadeh, Q Hu, MAA Yazdi, A Vinel, KC Davis, H Xian, FM Megahed, SE Rigdon","Journal of Quality Technology","54 (4), 466-484",4,2022,"8128071789273838771","maZDTaKrznsC"
"19","Explaining the Varying Patterns of COVID-19 Deaths Across the United States: 2-Stage Time Series Clustering Framework","FM Megahed, LA Jones-Farmer, Y Ma, SE Rigdon","JMIR Public Health and Surveillance","8 (7), e32164",2,2022,"11074723695950832787","O3NaXMp0MMsC"
"20","A Data Analytic End-to-End Framework for the Automated Quantification of Ergonomic Risk Factors Across Multiple Tasks using a Single Wearable Sensor","SR Lamooki, S Hajifar, J Kang, H Sun, FM Megahed, LA Cavuoto","Applied Ergonomics","102, 103732",20,2022,"10222476431857542081","YFjsv_pBGBYC"
"21","Modeling the Differences in the Time-Series Profiles of New COVID-19 Daily Confirmed Cases in 3,108 Contiguous US Counties: A Retrospective Analysis","FM Megahed, LA Jones-Farmer, L Zhao, SE Rigdon","PLOS ONE","16 (11), e0242896",8,2021,"1857416454184010267","NMxIlDl6LWMC"
"22","The Class Imbalance Problem","FM Megahed, YJ Chen, A Megahed, Y Ong, N Altman, M Krzywinski","Nat. Methods","18 (11), 1270-1272",123,2021,"2009451402806167380","hMod-77fHWUC"
"23","Predicting Unsafe Driving Risk among Commercial Truck Drivers using Machine Learning: Lessons Learned from the Surveillance of 20 Million Driving Miles","A Mehdizadeh, MAA Yazdi, M Cai, Q Hu, A Vinel, SE Rigdon, K Davis, FM Megahed","Accident Analysis & Prevention","159, 106285",25,2021,"7446896364707119413","k_IJM867U9cC"
"24","Smart Wearable and Collaborative Technologies for the Operator 4.0 in the Present and Post-COVID Digital Manufacturing Worlds","D Romero, T Wuest, M Keepers, LA Cavuoto, FM Megahed","Smart and Sustainable Manufacturing Systems","5 (1), 148-166",11,2021,"16186312473114632036","isC4tDSrTZIC"
"25","Personalized and Nonparametric Framework for Detecting Changes in Gait Cycles","SR Lamooki, J Kang, LA Cavuoto, FM Megahed, LA Jones-Farmer","IEEE Sensors Journal","21 (17), 19236-19246",10,2021,"15448273919273510406","TFP_iSt0sucC"
"26","The Association Between Crashes and Safety-Critical Events: Synthesized Evidence from Crash Reports and Naturalistic Driving Data among Commercial Truck Drivers","M Cai, MAA Yazdi, A Mehdizadeh, Q Hu, A Vinel, K Davis, H Xian, FM Megahed, SE Rigdon","Transportation Research Part C: Emerging Technologies","126, 103016",35,2021,"14670790551765892063","iH-uZ7U-co4C"
"27","Seat Assignments with Physical Distancing in Single-Destination Public Transit Settings","JF Moore, A Carvalho, GA Davis, Y Abulhassan, FM Megahed","IEEE Access","9, 42985-42993",20,2021,"5667987887695486212","r0BpntZqJG4C"
"28","Interventions to Mitigate Fatigue Induced by Physical Work: A Systematic Review of Research Quality and Levels of Evidence for Intervention Efficacy","L Lu, FM Megahed, LA Cavuoto","Human Factors","63 (1), 151-191",26,2021,"10597943145022196814","hFOr9nPyWt4C"
"29","Investigation of Heterogeneity Sources for Occupational Task Recognition via Transfer Learning","S Hajifar, SR Lamooki, LA Cavuoto, FM Megahed, H Sun","Sensors","21 (19), 6677",9,2021,"17394705295852045632","blknAaTinKkC"
"30","A Forecasting Framework for Predicting Perceived Fatigue: Using Time Series Methods to Forecast Ratings of Perceived Exertion with Features from Wearable Sensors","S Hajifar, H Sun, FM Megahed, LA Jones-Farmer, E Rashedi, LA Cavuoto","Applied Ergonomics","90, 103262",59,2021,"4926102217282279655","e5wmG9Sq2KIC"
"31","Monitoring Worker Fatigue using Wearable Devices: A Case Study to Detect Changes in Gait Parameters","A Baghdadi, LA Cavuoto, A Jones-Farmer, SE Rigdon, ET Esfahani, FM Megahed","Journal of Quality Technology","53 (1), 47-71",76,2021,"15110387498965148240","-f6ydRqryjwC"
"32","Empowering the Workforce in post<U+2013>COVID-19 Smart Manufacturing Systems","T Wuest, D Romero, LA Cavuoto, FM Megahed","Smart and Sustainable Manufacturing Systems","4 (3), 281-285",22,2020,"682624133112076650","RHpTSmoSYBkC"
"33","A Retrospective Cluster Analysis of COVID-19 Cases by County","FM Megahed, LA Jones-Farmer, SE Rigdon","bioRxiv","2020.11. 12.379537",3,2020,"11468168995699747967","4JMBOYKVnBMC"
"34","A Two-Stage Machine Learning Framework to Predict Heart Transplantation Survival Probabilities over Time with a Monotonic Probability Constraint","HA Dolatsara, YJ Chen, C Evans, A Gupta, FM Megahed","Decision Support Systems","137, 113363",33,2020,"4058251120437457150","R3hNpaxXUhUC"
"35","A Data Analytic Framework for Physical Fatigue Management using Wearable Sensors","ZS Maman, Y-J Chen, A Baghdadi, S Lombardo, LA Cavuoto, FM Megahed","Expert Systems with Applications","155, 113405",133,2020,"7797087906299517217","TQgYirikUcIC"
"36","Challenges and Opportunities for Statistical Monitoring of Gait Cycle Acceleration Observed from IMU Data for Fatigue Detection","SR Lamooki, J Kang, LA Cavuoto, FM Megahed, LA Jones-Farmer","","2020 8th IEEE RAS/EMBS International Conference for Biomedical Robotics and<U+00A0><U+2026>",10,2020,"5628089601019176443","_Qo2XoVZTnwC"
"37","A Review of Data Analytic Applications in Road Traffic Safety. Part 2: Prescriptive Modeling","Q Hu, M Cai, N Mohabbati-Kalejahi, A Mehdizadeh, MAA Yazdi, A Vinel, SE Rigdon, KC Davis, FM Megahed","Sensors","20 (4), 1096",26,2020,"16589970268439065053","HDshCWvjkbEC"
"38","A Review of Data Analytic Applications in Road Traffic Safety. Part 1: Descriptive and Predictive Modeling","A Mehdizadeh, M Cai, Q Hu, MAA Yazdi, N Mohabbati-Kalejahi, A Vinel, SE Rigdon, KC Davis, FM Megahed","Sensors","20 (4), 1107",66,2020,"14579000348378386965","mB3voiENLucC"
"39","A Statistical (Process Monitoring) Perspective on Human Performance Modeling in the Age of Cyber-Physical Systems","F M. Megahed, LA Jones-Farmer, M Cai, S E. Rigdon, M Mohamed","International Workshop on Intelligent Statistical Quality Control","197-228",0,2019,NA,"bEWYMUwI8FkC"
"40","A DMAIC Perspective on Physical Fatigue Management","ZS Maman, L Lu, FM Megahed, LA Cavuoto","Professional Safety","64 (6), 26-27",4,2019,"6968551532451467721","qUcmZB5y_30C"
"41","Optimization of Split Keyboard Design for Touchscreen Devices","MA Alamdar Yazdi, A Negahban, L Cavuoto, FM Megahed","International Journal of Human<U+2013>Computer Interaction","35 (6), 468-477",14,2019,"15398097712970431634","9ZlFYXVOiuMC"
"42","Discussion on <U+201C>real-Time Monitoring of Events Applied to Syndromic Surveillance<U+201D>","FM Megahed","Quality Engineering","31 (1), 97-104",4,2019,"15541685542406135240","IWHjjKOFINEC"
"43","Predicting Short-Term Stock Prices using Ensemble Methods and Online Data Sources","B Weng, L Lu, X Wang, FM Megahed, W Martinez","Expert Systems with Applications","112, 258-273",305,2018,"6260407778748809769","QIV2ME_5wuYC"
"44","Macroeconomic Indicators Alone can Predict the Monthly Closing Price of Major US Indices: Insights from Artificial Intelligence, Time-Series Analysis and Hybrid Models","B Weng, W Martinez, YT Tsai, C Li, L Lu, JR Barth, FM Megahed","Applied Soft Computing","71, 685-697",60,2018,"14705761960595506677","L8Ckcad2t8MC"
"45","A Machine Learning Approach to Detect Changes in Gait Parameters Following a Fatiguing Occupational Task","A Baghdadi, FM Megahed, ET Esfahani, LA Cavuoto","Ergonomics","61 (8), 1116-1129",125,2018,"13194274808661513148","Wp0gIr-vW9MC"
"46","Estimating the Relative Efficiency of Highway Safety Investments on Commercial Transportation","YT Tsai, SM Swartz, FM Megahed","Transportation Journal","57 (2), 193-218",6,2018,"102732355916059404","mVmsd5A6BfQC"
"47","Statistical Process Monitoring via Image Data using Wavelets","M Koosha, R Noorossana, F Megahed","Quality and Reliability Engineering International","33 (8), 2059-2073",50,2017,"10677523555080778916","_kc_bZDykSQC"
"48","A Survey of the Prevalence of Fatigue, Its Precursors and Individual Coping Mechanisms among US Manufacturing Workers","L Lu, FM Megahed, RF Sesek, LA Cavuoto","Applied Ergonomics","65, 139-151",88,2017,"13288099267569073914","YOwf2qJgpHMC"
"49","Streamlining Science with Structured Data Archives: Insights from Stroke Rehabilitation","N Mohabbati-Kalejahi, MAA Yazdi, FM Megahed, SY Schaefer, LA Boyd, CE Lang, KR Lohse","Scientometrics","113, 969-983",3,2017,"14503445030312685337","M3ejUd6NZC8C"
"50","A Data-Driven Approach to Modeling Physical Fatigue in the Workplace using Wearable Sensors","ZS Maman, MAA Yazdi, LA Cavuoto, FM Megahed","Applied Ergonomics","65, 515-529",276,2017,"11873428285073357202","ULOm3_A8WrAC"
"51","Effects of Task Type, Task Duration, and Age on Body Kinematics and Subjective Fatigue","A Baghdadi, ZS Maman, L Lu, LA Cavuoto, FM Megahed","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","61 (1<U+00A0><U+2026>",11,2017,"15652821067691898102","qxL8FJ1GzNcC"
"52","Stock Market One-Day Ahead Movement Prediction using Disparate Data Sources","B Weng, MA Ahmed, FM Megahed","Expert Systems with Applications","79, 153-163",300,2017,"9749836799127203475","kNdYIx-mwKoC"
"53","A Data-Driven Approach to Identifying Physical Fatigue","L Cavuoto, F Megahed","ASSE Professional Development Conference and Exposition, ASSE-","-17-740",1,2017,"10044634611528041306","4DMP91E08xMC"
"54","Enhancing the Monitoring of 3D Scanned Manufactured Parts Through Projections and Spatiotemporal Control Charts","K He, M Zhang, L Zuo, T Alhwiti, FM Megahed","Journal of Intelligent Manufacturing","28, 899-911",20,2017,"12375758145689814275","ufrVoPGSRksC"
"55","Predicting Heart Transplantation Outcomes Through Data Analytics","A Dag, A Oztekin, A Yucel, S Bulur, FM Megahed","Decision Support Systems","94, 42-52",113,2017,"2301245242978926968","MXK_kJrjxJIC"
"56","A Short Note on the Effect of Sample Size on the Estimation Error in C p","ZS Maman, WW Murphy, S Maghsoodloo, FH Ahmadi, FM Megahed","Quality Engineering","28 (4), 455-466",4,2016,"13722261408642664640","0EnyYjriUFMC"
"57","Monitoring and Change Point Estimation of Normal (in-Control) and Fatigued (Out-of-Control) State in Workers","Z Sedighi Maman, A Baghdadi, F Megahed, L Cavuoto","International Design Engineering Technical Conferences and Computers And<U+00A0><U+2026>","",11,2016,"10354927055615121931","Zph67rFs4hoC"
"58","A Probabilistic Data-Driven Framework for Scoring the Preoperative Recipient-Donor Heart Transplant Survival","A Dag, K Topuz, A Oztekin, S Bulur, FM Megahed","Decision Support Systems","86, 1-12",97,2016,"17070920144300060721","Se3iqnhoufwC"
"59","Understanding Fatigue and the Implications for Worker Safety","L Cavuoto, F Megahed","ASSE Professional Development Conference and Exposition, ASSE-","-16-734",57,2016,"13529970984522107779","3fE2CSJIrl8C"
"60","An Image-Based Multivariate Generalized Likelihood Ratio Control Chart for Detecting and Diagnosing Multiple Faults in Manufactured Products","Z He, L Zuo, M Zhang, FM Megahed","International Journal of Production Research","54 (6), 1771-1784",62,2016,"5496633834820293325","LkGwnXOMwfcC"
"61","Proportional Hazard Model of Doped Low Creep Lead Free Solder Paste under Vibration","S. Thirugnanasambandam, D. Raj, A., Stone, T. Sanders, S. Sridhar, S. Gordon, J. Evans, F. Megahed, G. Flowers, M. Bozack, W. Johnson","","2016 15th IEEE Intersociety Conference on Thermal and Thermomechanical<U+00A0><U+2026>",11,2016,"12411956643131517064","8k81kl-MbHgC"
"62","Proportional Hazard Model of Doped Low Creep Lead Free Solder Paste under Thermal Shock","A Raj, S Thirugnanasambandam, T Sanders, S Sridhar, S Gordon, J Evans, F Megahed, M Bozack, W Johnson, M Carpenter","","2016 15th IEEE Intersociety Conference on Thermal and Thermomechanical<U+00A0><U+2026>",20,2016,"2092109433526753979","5nxA0vEk-isC"
"63","Statistical Learning Methods Applied to Process Monitoring: An Overview and Perspective","M Weese, W Martinez, FM Megahed, LA Jones-Farmer","Journal of Quality Technology","48 (1), 4-24",120,2016,"17453099802279468334","roLk4NBRz8UC"
"64","Using Visual Data Mining in Highway Traffic Safety Analysis and Decision Making","YT Tsai, HD Smith, SM Swartz, FM Megahed","Journal of Transportation Management","26 (1), 5",4,2015,"1305284594101528293","ZeXyd9-uunAC"
"65","The Effects of Socio-Economic and Public Policy Factors on U.S. Highway Safety","YT Tsai, T Alhwiti, SM Swartz, FM Megahed","Journal of Transportation Law, Logistics, and Policy","82 (1/2), 31",8,2015,"8693388168906169709","hqOjcs7Dif8C"
"66","Statistical Perspectives on 'Big Data'","FM Megahed, LA Jones-Farmer","Frontiers in Statistical Quality Control","11, 29-47",96,2015,"13036355288408277236","YsMSGLbcyi4C"
"67","HistoRIA: A New Tool for Simulation Input Analysis","M Ansari, A Negahban, FM Megahed, JS Smith","Proceedings of the Winter Simulation Conference","2014, 2702-2713",11,2014,"16720095747803750430","WF5omc3nYNoC"
"68","Using Visual Data Mining to Enhance the Simple Tools in Statistical Process Control: A Case Study","HD Smith, FM Megahed, LA Jones<U+2010>Farmer, M Clark","Quality and Reliability Engineering International","30 (6), 905-917",8,2014,"18317966690666730733","eQOLeE2rZwMC"
"69","Exponential CUSUM Charts with Estimated Control Limits","M Zhang, FM Megahed, WH Woodall","Quality and Reliability Engineering International","30 (2), 275-286",145,2014,"9232568556875137865","W7OEmFMy1HYC"
"70","Statistical Process Monitoring Approach for High-Density Point Clouds","LJ Wells, FM Megahed, CB Niziolek, JA Camelio, WH Woodall","Journal of Intelligent Manufacturing","24, 1267-1279",76,2013,"17637000910810714560","Tyk-4Ss8FVUC"
"71","Geometric Charts with Estimated Control Limits","M Zhang, Y Peng, A Schuh, FM Megahed, WH Woodall","Quality and Reliability Engineering International","29 (2), 209-223",109,2013,"2498876613158866213","IjCSPb-OGe4C"
"72","A Spatiotemporal Method for the Monitoring of Image Data","FM Megahed, LJ Wells, JA Camelio, WH Woodall","Quality and Reliability Engineering International","28 (8), 967-980",126,2012,"15369194234517250614","zYLM7Y9cAGgC"
"73","A Framework for Variation Visualization and Understanding in Complex Manufacturing Systems","LJ Wells, FM Megahed, JA Camelio, WH Woodall","Journal of Intelligent Manufacturing","23, 2025-2036",32,2012,"28698441600947137","qjMakFHDy7sC"
"74","Real-Time Fault Detection in Manufacturing Environments using Face Recognition Techniques","FM Megahed, JA Camelio","Journal of Intelligent Manufacturing","23, 393-408",62,2012,"826805130687646863","u5HHmVD_uO8C"
"75","The Use of Image and Point Cloud Data in Statistical Process Control","FM Megahed","Virginia Tech","",2,2012,"6711983636518618805","UeHWp8X0CEIC"
"76","A Note on Two Performance Metrics for Public-Health Surveillance Schemes","FM Megahed, SE Fraker, WH Woodall","Journal of Applied Probability and Statistics","7 (1), 35-41",2,2012,"582199259477213746","_FxGoFyzp5QC"
"77","A Review and Perspective on Control Charting with Image Data","FM Megahed, WH Woodall, JA Camelio","Journal of Quality Technology","43 (2), 83-98",173,2011,"14692475387144554249","d1gkVwhDpl0C"
"78","A Note on the ARL of Two-Sided Bernoulli-Based CUSUM Control Charts","FM Megahed, JLK Kensler, K Bedair, WH Woodall","Journal of Quality Technology","43 (1), 43-49",20,2011,"12522147135371307496","u-x6o8ySG0sC"
"79","The Use of 3D Laser Scanners in Statistical Process Control","F Megahed, L Wells, J Camelio","SAE Technical Paper","01-1864",12,2010,"17381302870818324336","9yKSN-GCB0IC"
"80","Towards the Utilization of Machine Vision Systems as an Integral Component of Industrial Quality Monitoring Systems","FM Megahed","Virginia Polytechnic Institute and State University","",0,2009,NA,"2osOgNQ5qMEC"
"81","Vliesstoffanalyse Mittels Digitaler Bildverarbeitung","MA Raina, DM Kennes, F Megahed, T Gries","Technische Textilien","51 (4), 186-187",0,2008,NA,"ns9cj8rnVeAC"
